"名称","種別","所在地","新指定年月日"
"東勝寺跡","史跡","神奈川県鎌倉市",98/07/31
"田名向原遺跡","史跡","神奈川県相模原市",99/01/28
"了玄庵のツナギガヤ","天然記念物","新潟県田上町",22/10/12
"鳥屋野逆ダケの薮","天然記念物","新潟県新潟市",22/10/12
"田上村ツナギガヤ自生地","天然記念物","新潟県田上町",22/10/12
"梅護寺の数珠掛ザクラ","天然記念物","新潟県京ヶ瀬村",27/04/08
"極楽寺の野中ザクラ","天然記念物","新潟県上川村",27/04/08
"将軍スギ","天然記念物","新潟県三川村",27/04/08
"笹川流","名勝・天然記念物","新潟県山北町",27/09/05
"筥堅八幡宮社叢","天然記念物","新潟県山北町",28/01/31
"小木の御所ザクラ","天然記念物","新潟県小木町",28/11/30
"小山田ヒガンザクラ樹林","天然記念物","新潟県五泉市",28/11/30
"佐渡国分寺跡","史跡","新潟県真野町",29/12/17
"鵜川神社の大ケヤキ","天然記念物","新潟県柏崎市",30/02/28
"菖蒲塚古墳","史跡","新潟県巻町",30/04/25
"橡平サクラ樹林","天然記念物","新潟県加治川村",34/01/22
"佐渡海府海岸","名勝","新潟県相川町・両津市",34/05/01
"佐渡小木海岸","天然記念物・名勝","新潟県小木町",34/05/01
"春日山城跡","史跡","新潟県上越市",35/08/27
"虫川の大スギ","天然記念物","新潟県浦川原村",37/04/17
"貞観園","名勝","新潟県高柳町",37/06/15
"田代の七ツ釜","名勝・天然記念物","新潟県津南町・中里村",37/06/15
"能生白山神社社叢","天然記念物","新潟県能生町",37/12/21
"平根崎の波蝕甌穴群","天然記念物","新潟県相川町",40/07/12
"清津峡","名勝・天然記念物","新潟県湯沢町・中里村",41/04/23
"月潟の類産ナシ","天然記念物","新潟県月潟村",41/11/13
"天神社の大スギ","天然記念物","新潟県妙高高原町",41/11/13
"能生ヒメハルゼミ発生地","天然記念物","新潟県能生町",42/10/14
"羽吉の大クワ","天然記念物","新潟県両津市",42/10/14
"水原のハクチョウ渡来地","天然記念物","新潟県水原町・笹神村",53/11/14
"小滝川硬玉産地","天然記念物","新潟県糸魚川市",56/06/29
"青海川の硬玉産地","天然記念物","新潟県青海町",57/02/22
"渡辺氏庭園","名勝","新潟県関川村",63/10/11
"旧新潟税関","史跡","新潟県新潟市",69/06/20
"笠堀のカモシカ生息地","天然記念物","新潟県下田村",71/05/13
"長者ヶ原遺跡","史跡","新潟県糸魚川市",71/05/27
"粟島のオオミズナギドリおよびウミウ繁殖地","天然記念物","新潟県粟島浦村",72/07/12
"水科古墳群","史跡","新潟県三和村・牧村",76/05/06
"宮口古墳群","史跡","新潟県牧村",76/05/06
"下国府遺跡","史跡","新潟県真野町",76/06/21
"斐太遺跡","史跡","新潟県新井市",77/07/16
"観音平・天神堂古墳群","史跡","新潟県新井市",78/03/24
"沖ノ原遺跡","史跡","新潟県津南町",78/05/11
"平林城跡","史跡","新潟県神林村",78/09/18
"藤橋遺跡","史跡","新潟県長岡市",78/10/13
"馬高・三十稲場遺跡","史跡","新潟県長岡市",79/02/21
"坂戸城跡","史跡","新潟県六日町",79/03/12
"下谷地遺跡","史跡","新潟県柏崎市",79/06/04
"室谷洞窟","史跡","新潟県上川村",80/02/04
"宮川神社社叢","天然記念物","新潟県柏崎市",80/03/14
"寺地遺跡","史跡","新潟県青海町",80/12/05
"小瀬ヶ沢洞窟","史跡","新潟県上川村",82/12/03
"長者ヶ平遺跡","史跡","新潟県小木町",84/07/21
"奥山荘城館遺跡","史跡","新潟県中条町",84/10/03
"村上城跡","史跡","新潟県村上市",93/06/08
"佐渡金山遺跡","史跡","新潟県相川町",94/05/24
"八幡林官衙遺跡","史跡","新潟県和島村",95/03/17
"朝日貝塚","史跡","富山県氷見市",22/03/08
"大境洞窟住居跡","史跡","富山県氷見市",22/03/08
"ホタルイカ群遊海面","特別天然記念物","富山県富山市・魚津市",22/03/08
"十二町潟オニバス発生地","天然記念物","富山県氷見市",23/03/07
"上日寺のイチョウ","天然記念物","富山県氷見市",26/10/20
"脇谷のトチノキ","天然記念物","富山県利賀村",26/10/20
"大岩日石寺石仏","史跡","富山県上市町",26/10/20
"桜谷古墳","史跡","富山県高岡市",34/12/28
"宮崎鹿島樹叢","天然記念物","富山県朝日町",36/12/16
"魚津埋没林","特別天然記念物","富山県魚津市",36/12/16
"飯久保の瓢箪＊石","天然記念物","富山県氷見市",41/01/27
"猪谷の背斜・向斜","天然記念物","富山県細入村",41/10/03
"立山の山崎圏谷","天然記念物","富山県立山町",45/02/22
"薬師岳の圏谷群","特別天然記念物","富山県大山町",45/02/22
"王塚古墳","史跡","富山県婦中町",48/01/14
"黒部峡谷附猿飛ならびに奥鐘山","特別名勝・特別天然記念物","富山県立山町・宇奈月町",56/09/07
"越中五箇山相倉集落","史跡","富山県平村",70/12/04
"越中五箇山菅沼集落","史跡","富山県上平村",70/12/04
"高瀬遺跡","史跡","富山県井波町",72/03/22
"称名滝","名勝・天然記念物","富山県立山町",73/05/29
"杉沢の沢スギ","天然記念物","富山県入善町",73/08/04
"不動堂遺跡","史跡","富山県朝日町",74/12/23
"串田新遺跡","史跡","富山県大門町",76/09/20
"じょうべのま遺跡","史跡","富山県入善町",79/05/14
"安田城跡","史跡","富山県婦中町",81/02/23
"直坂遺跡","史跡","富山県大沢野町",81/04/11
"北代遺跡","史跡","富山県富山市",84/01/04
"小杉丸山遺跡","史跡","富山県小杉町",90/03/08
"柳田布尾山古墳","史跡","富山県氷見市",01/01/29
"兼六園","特別名勝","石川県金沢市",22/03/08
"篠原のキンメイチク","天然記念物","石川県加賀市",27/04/08
"栢野の大スギ","天然記念物","石川県山中町",28/11/30
"那谷寺庫裡庭園","名勝","石川県小松市",29/04/02
"成巽閣庭園","名勝","石川県金沢市",29/04/02
"法皇山横穴古墳","史跡","石川県加賀市",29/12/17
"狐山古墳","史跡","石川県加賀市",32/04/19
"七尾城跡","史跡","石川県七尾市",34/12/28
"御仏供スギ","天然記念物","石川県吉野谷村",38/08/08
"鹿島の森","天然記念物","石川県加賀市",38/08/08
"末松廃寺跡","史跡","石川県野々市町",39/09/07
"山科の大桑層化石産地と甌穴","天然記念物","石川県金沢市",41/01/27
"曽々木海岸","名勝・天然記念物","石川県輪島市",42/03/07
"堂形のシイノキ","天然記念物","石川県金沢市",43/08/24
"松月寺のサクラ","天然記念物","石川県金沢市",43/08/24
"八幡神社の大スギ","天然記念物","石川県山中町",43/08/24
"岩間の噴泉塔群","特別天然記念物","石川県尾口村",54/12/25
"手取川流域の珪化木産地","天然記念物","石川県白峰村",57/07/10
"気多神社社叢","天然記念物","石川県羽咋市",67/05/02
"東大寺領横江荘荘家跡","史跡","石川県松任市",72/03/14
"能登国分寺跡附建物群跡","史跡","石川県七尾市",74/12/23
"和田山・末寺山古墳群","史跡","石川県寺井町",75/03/18
"須須神社社叢","天然記念物","石川県珠洲市",75/06/26
"御経塚遺跡","史跡","石川県野々市町",77/03/08
"石動山","史跡","石川県鹿島町",78/10/25
"九谷磁器窯跡","史跡","石川県山中町",79/10/23
"須曽蝦夷穴古墳","史跡","石川県能登島町",81/01/27
"散田金谷古墳","史跡","石川県志雄町",82/01/16
"上山田貝塚","史跡","石川県宇ノ気町",82/03/29
"雨の宮古墳群","史跡","石川県鹿西町",82/10/12
"吉崎・次場遺跡","史跡","石川県羽咋市",83/12/15
"鳥越城跡附二曲城跡","史跡","石川県鳥越村",85/09/03
"チカモリ遺跡","史跡","石川県金沢市",87/02/23
"真脇遺跡","史跡","石川県能都町",89/01/09
"太田の大トチノキ","天然記念物","石川県白峰村",93/04/06
"秋常山古墳群","史跡","石川県寺井町",99/01/14
"白米の千枚田","名勝","石川県輪島市",01/01/29
"上時国氏庭園","名勝","石川県輪島市",01/01/29
"時国氏庭園","名勝","石川県輪島市",01/01/29
"燈明寺畷新田義貞戦歿伝説地","史跡","福井県福井市",24/12/09
"常神のソテツ","天然記念物","福井県三方町",24/12/09
"気比の松原","名勝","福井県敦賀市",28/06/28
"滝谷寺庭園","名勝","福井県三国町",29/12/17
"一乗谷朝倉氏遺跡","特別史跡","福井県福井市・美山町",30/07/08
"一乗谷朝倉氏庭園附南陽寺跡庭園","特別名勝","福井県福井市",30/07/08
"丸岡藩砲台跡","史跡","福井県三国町",30/08/25
"旧玄成院庭園","名勝","福井県勝山市",30/10/03
"小浜神社の九本ダモ","天然記念物","福井県小浜市",31/03/30
"万徳寺のヤマモミジ","天然記念物","福井県小浜市",31/06/03
"万徳寺庭園","名勝","福井県小浜市",32/03/25
"西福寺書院庭園","名勝","福井県敦賀市",32/04/19
"伊藤氏庭園","名勝","福井県今庄町",32/04/19
"柴田氏庭園","名勝","福井県敦賀市",32/04/19
"若狭蘇洞門","名勝","福井県小浜市",34/01/22
"金ヶ崎城跡","史跡","福井県敦賀市",34/03/13
"杣山城跡","史跡","福井県南条町・今庄町",34/03/13
"本願清水イトヨ生息地","天然記念物","福井県大野市",34/05/01
"武田耕雲斎等墓","史跡","福井県敦賀市",34/12/28
"東尋坊","天然記念物・名勝","福井県三国町",35/06/07
"アラレガコ生息地","天然記念物","福井県大野市・福井市・他",35/06/07
"専福寺の大ケヤキ","天然記念物","福井県大野市",35/06/07
"白山平泉寺旧境内","史跡","福井県勝山市",35/08/27
"杉森神社のオハツキイチョウ","天然記念物","福井県高浜町",35/08/27
"西塚古墳","史跡","福井県上中町",35/12/24
"上ノ塚古墳","史跡","福井県上中町",35/12/24
"中塚古墳","史跡","福井県上中町",35/12/24
"上船塚古墳","史跡","福井県上中町",35/12/24
"下船塚古墳","史跡","福井県上中町",35/12/24
"三方五湖","名勝","福井県三方町・美浜町",37/06/15
"蒼島暖地性植物群落","天然記念物","福井県小浜市",51/06/09
"王山古墳群","史跡","福井県鯖＊江市",67/06/22
"吉崎御坊跡","史跡","福井県金津町",75/02/13
"若狭国分寺跡","史跡","福井県小浜市",76/12/23
"城福寺庭園","名勝","福井県武生市",77/02/02
"梅田氏庭園","名勝","福井県池田町",77/03/14
"兜山古墳","史跡","福井県鯖＊江市",77/08/10
"手繰ヶ城山古墳","史跡","福井県松岡町・永平寺町",77/12/05
"岡津製塩遺跡","史跡","福井県小浜市",79/05/21
"養浩館(旧御泉水屋敷)庭園","名勝","福井県福井市",82/07/26
"中郷古墳群","史跡","福井県敦賀市",88/03/23
"六呂瀬山古墳群","史跡","福井県丸岡町",90/05/16
"後瀬山城跡","史跡","福井県小浜市",97/05/23
"小浜藩松ヶ瀬台場跡","史跡","福井県大飯町",01/01/29
"甲斐国分寺跡","史跡","山梨県一宮町",22/10/12
"山高神代ザクラ","天然記念物","山梨県武川村",22/10/12
"御岳昇仙峡","特別名勝","山梨県甲府市・敷島町",23/03/07
"富士山原始林","天然記念物","山梨県上九一色村・鳴沢村",26/02/24
"山ノ神のフジ","天然記念物","山梨県富士吉田市",28/01/31
"精進の大スギ","天然記念物","山梨県上九一色村",28/01/31
"躑躅原レンゲツツジおよびフジザクラ群落","天然記念物","山梨県富士吉田市",37/03/03
"三恵の大ケヤキ","天然記念物","山梨県若草町",37/11/30
"上沢寺のオハツキイチョウ","天然記念物","山梨県身延町",29/04/02
"本国寺のオハツキイチョウ","天然記念物","山梨県身延町",29/04/02
"西湖蝙蝠穴およびコウモリ","天然記念物","山梨県足和田村",29/12/17
"富士風穴","天然記念物","山梨県上九一色村",29/12/17
"本栖風穴","天然記念物","山梨県上九一色村",29/12/17
"神座風穴附蒲鉾穴および眼鏡穴","天然記念物","山梨県鳴沢村",29/12/17
"大室洞穴","天然記念物","山梨県鳴沢村",29/12/17
"富岳風穴","天然記念物","山梨県上九一色村",29/12/17
"竜宮洞穴","天然記念物","山梨県足和田村",29/12/17
"鳴沢氷穴","天然記念物","山梨県鳴沢村",29/12/17
"鳴沢熔岩樹型","特別天然記念物","山梨県鳴沢村",29/12/17
"吉田胎内樹型","天然記念物","山梨県富士吉田市",29/12/17
"船津胎内樹型","天然記念物","山梨県河口湖町",29/12/17
"銚子塚古墳附丸山塚古墳","史跡","山梨県中道町",30/02/28
"猿橋","名勝","山梨県大月市",32/03/25
"雁ノ穴","天然記念物","山梨県富士吉田市",32/10/19
"万休院の舞鶴マツ","天然記念物","山梨県武川村",34/01/22
"忍野八海","天然記念物","山梨県忍野村",34/05/01
"燕岩岩脈","天然記念物","山梨県甲府市",34/12/28
"美森の大ヤマツツジ","天然記念物","山梨県大泉村",35/06/07
"身延町ブッポウソウ繁殖地","天然記念物","山梨県身延町",37/12/21
"武田氏館跡","史跡","山梨県甲府市",38/05/30
"八木沢のオハツキイチョウ","天然記念物","山梨県身延町",40/07/12
"恵林寺庭園","名勝","山梨県塩山市",44/06/26
"上野原の大ケヤキ","天然記念物","山梨県上野原町",44/11/13
"甲斐国分尼寺跡","史跡","山梨県一宮町",49/07/13
"古長禅寺のビャクシン","天然記念物","山梨県甲西町",53/11/14
"根古屋神社の大ケヤキ","天然記念物","山梨県須玉町",58/05/15
"山中のハリモミ純林","天然記念物","山梨県山中湖村",63/01/18
"新府城跡","史跡","山梨県韮崎市",73/07/21
"勝沼氏館跡","史跡","山梨県勝沼町",81/05/28
"金生遺跡","史跡","山梨県大泉村",83/02/07
"甲西の大カシワ","天然記念物","山梨県甲西町",83/12/15
"要害山","史跡","山梨県甲府市",91/03/30
"谷戸城跡","史跡","山梨県大泉村",93/11/29
"向嶽寺庭園","名勝","山梨県塩山市",94/06/06
"甲斐金山遺跡　黒川金山　中山金山","史跡","山梨県塩山市・下部町",97/09/02
"白山城跡","史跡","山梨県韮崎市",01/01/29
"新倉の糸魚川−静岡構造線","天然記念物","山梨県早川町",01/08/13
"東内のシダレエノキ","天然記念物","長野県丸子町",20/07/17
"小野のシダレグリ自生地","天然記念物","長野県辰野町",20/07/17
"西内のシダレグリ自生地","天然記念物","長野県丸子町",20/07/17
"岩村田ヒカリゴケ産地","天然記念物","長野県佐久市",21/03/03
"テングノムギメシ産地","天然記念物","長野県小諸市",21/03/03
"白骨温泉の噴湯丘と球状石灰石","特別天然記念物","長野県安曇村",22/03/08
"新野のハナノキ自生地","天然記念物","長野県阿南町",22/10/12
"高瀬渓谷の噴湯丘と球状石灰石","天然記念物","長野県大町市",22/10/12
"寝覚の床","名勝","長野県上松町",23/03/07
"八ヶ岳キバナシャクナゲ自生地","天然記念物","長野県南牧村",23/03/07
"渋の地獄谷噴泉","天然記念物","長野県山ノ内町",27/04/08
"上高地","特別名勝・特別天然記念物","長野県安曇村",28/03/24
"中房温泉の膠状珪酸および珪華","天然記念物","長野県穂高町",28/10/04
"松本城","史跡","長野県松本市",30/11/19
"信濃国分寺跡","史跡","長野県上田市",30/11/19
"戌立石器時代住居跡","史跡","長野県東部町",33/02/28
"寺ノ浦石器時代住居跡","史跡","長野県小諸市",33/02/28
"天竜峡","名勝","長野県飯田市",34/01/22
"竜岡城跡","史跡","長野県臼田町",34/05/01
"上田城跡","史跡","長野県上田市",34/12/28
"三岳のブッポウソウ繁殖地","天然記念物","長野県三岳村",35/06/07
"素桜神社の神代ザクラ","天然記念物","長野県長野市",35/12/24
"四阿山の的岩","天然記念物","長野県真田町",40/02/10
"横川の蛇石","天然記念物","長野県辰野町",40/07/12
"尖石石器時代遺跡","特別史跡","長野県茅野市",42/10/14
"上之段石器時代遺跡","史跡","長野県茅野市",42/10/14
"月瀬の大スギ","天然記念物","長野県根羽村",44/11/13
"平出遺跡","史跡","長野県塩尻市",52/03/29
"旧文武学校","史跡","長野県長野市",53/03/31
"十三崖のチョウゲンボウ繁殖地","天然記念物","長野県中野市",53/11/14
"小林一茶旧宅","史跡","長野県信濃町",57/05/08
"霧ヶ峰湿原植物群落","天然記念物","長野県諏訪市・下諏訪町",60/06/10
"井戸尻遺跡","史跡","長野県富士見町",66/06/21
"大深山遺跡","史跡","長野県川上村",66/06/21
"光前寺庭園","名勝","長野県駒ヶ根市",67/05/10
"旧中込学校","史跡","長野県佐久市",69/04/12
"森将軍塚古墳","史跡","長野県更埴市",71/03/16
"黒岩山","天然記念物","長野県飯山市",71/07/05
"高遠城跡","史跡","長野県高遠町",73/05/26
"弘法山古墳","史跡","長野県松本市",76/02/20
"佐野遺跡","史跡","長野県山ノ内町",76/12/25
"川柳将軍塚古墳・姫塚古墳","史跡","長野県長野市",77/07/14
"鳥羽山洞窟","史跡","長野県丸子町",78/01/27
"福島関跡","史跡","長野県木曽福島町",79/03/13
"阿久遺跡","史跡","長野県原村",79/07/02
"松代城跡附新御殿跡","史跡","長野県長野市",81/04/11
"神坂峠遺跡","史跡","長野県阿智村",81/09/04
"梨久保遺跡","史跡","長野県岡谷市",84/01/11
"栃原岩陰遺跡","史跡","長野県北相木村",87/05/25
"中山道","史跡","長野県和田村・南木曽町",87/10/03
"松代藩主真田家墓所","史跡","長野県長野市",87/12/25
"矢出川遺跡","史跡","長野県南牧村",95/02/13
"小黒川のミズナラ","天然記念物","長野県清内路村",96/09/04
"大室古墳群","史跡","長野県長野市",97/07/28
"駒形遺跡","史跡","長野県茅野市",98/01/16
"姨捨（田毎の月）","名勝","長野県更埴市",99/05/10
"星糞峠黒曜石原産地遺跡","史跡","長野県長門町",01/01/29
"坂本のハナノキ自生地","天然記念物","岐阜県中津川市",20/07/17
"美濃国分寺跡","史跡","岐阜県大垣市",21/03/03
"竹原のシダレグリ自生地","天然記念物","岐阜県下呂町",21/03/03
"根尾谷淡墨ザクラ","天然記念物","岐阜県根尾村",22/10/12
"富田ハナノキ自生地","天然記念物","岐阜県岩村町",22/10/12
"釜戸ハナノキ自生地","天然記念物","岐阜県釜戸町",22/10/12
"越原ハナノキ自生地","天然記念物","岐阜県東白川村",22/10/12
"揖斐二度ザクラ","天然記念物","岐阜県大野町",23/03/07
"石徹白のスギ","特別天然記念物","岐阜県白鳥町",24/12/09
"粥川ウナギ生息地","天然記念物","岐阜県美並村",24/12/09
"加子母のスギ","天然記念物","岐阜県加子母村",24/12/09
"オオサンショウウオ生息地","天然記念物","岐阜県和良村・八幡町",27/04/08
"根尾谷断層","特別天然記念物","岐阜県根尾村",27/06/14
"霞間ヶ渓(サクラ)","名勝・天然記念物","岐阜県池田町",28/02/17
"久津八幡神社の夫婦スギ","天然記念物","岐阜県萩原町",28/11/30
"禅昌寺の大スギ","天然記念物","岐阜県萩原町",29/04/02
"千光寺の五本スギ","天然記念物","岐阜県丹生川村",29/04/02
"中將姫誓願ザクラ","天然記念物","岐阜県岐阜市",29/04/02
"飛騨＊国分寺塔跡","史跡","岐阜県高山市",29/12/17
"高山陣屋跡","史跡","岐阜県高山市",29/12/17
"神淵神社の大スギ","天然記念物","岐阜県七宗町",30/02/28
"垂井一里塚","史跡","岐阜県垂井町",30/10/03
"楓谷のヤマモミジ樹林","天然記念物","岐阜県美濃市",30/11/19
"関ヶ原古戦場附徳川家康最初陣地　徳川家康最後陣地　石田三成陣地岡山烽火場　大谷吉隆墓　東首塚　西首塚","史跡","岐阜県関ヶ原町",31/03/30
"一之瀬のホンシャクナゲ群落","天然記念物","岐阜県上石津町",31/07/31
"オオサンショウウオ生息地","天然記念物","岐阜県大和村",33/02/28
"鬼岩","名勝・天然記念物","岐阜県御嵩町・日吉町",34/01/22
"美濃の壺石","天然記念物","岐阜県土岐市",34/01/22
"傘岩","天然記念物","岐阜県恵那市",34/01/22
"神ノ御杖スギ","天然記念物","岐阜県美並村",34/05/01
"琴塚古墳","史跡","岐阜県岐阜市",34/08/09
"洲原神社ブッポウソウ繁殖地","天然記念物","岐阜県美濃市",35/06/07
"垂洞のシダレモミ","天然記念物","岐阜県付知町",37/12/21
"乙塚古墳附段尻巻古墳","史跡","岐阜県土岐市",38/12/14
"油島千本松締切堤","史跡","岐阜県海津町",40/07/12
"根尾谷の菊花石","特別天然記念物","岐阜県根尾村",41/12/13
"白山神社のハナノキおよびヒトツバタゴ","天然記念物","岐阜県土岐市",43/02/19
"大山の大スギ","天然記念物","岐阜県白川町",43/08/24
"飛騨＊国分寺の大イチョウ","天然記念物","岐阜県高山市",53/03/31
"長塚古墳","史跡","岐阜県可児市",56/05/15
"野古墳群","史跡","岐阜県大野町",57/07/10
"弥勒寺跡附丸山古窯跡","史跡","岐阜県関市・美濃市",49/03/02
"飛水峡の甌穴群","天然記念物","岐阜県七宗町",61/07/06
"福地の化石産地","天然記念物","岐阜県上宝村",62/01/12
"元屋敷陶器窯跡","史跡","岐阜県土岐市",67/12/11
"永保寺庭園","名勝","岐阜県多治見市",69/04/12
"臥竜のサクラ","天然記念物","岐阜県宮村",73/05/26
"一位森八幡神社社叢","天然記念物","岐阜県高根村",75/06/26
"赤保木瓦窯跡","史跡","岐阜県高山市",76/11/09
"久々利のサクライソウ自生地","天然記念物","岐阜県可児市",78/08/15
"老洞・朝倉須恵器窯跡","史跡","岐阜県岐阜市",79/05/31
"江馬氏城館跡　下館跡　高原諏訪城跡　土城跡　寺林城跡　政元城跡　洞城跡　石神城跡","史跡","岐阜県神岡町",80/03/21
"堂之上遺跡","史跡","岐阜県久々野町",80/03/24
"苗木城跡","史跡","岐阜県中津川市",81/04/22
"加納城跡","史跡","岐阜県岐阜市",83/10/28
"東氏館跡庭園","名勝","岐阜県大和村",87/06/13
"治郎兵衛のイチイ","天然記念物","岐阜県荘川村",94/01/25
"昼飯大塚古墳","史跡","岐阜県大垣市",00/09/06
"正家廃寺跡","史跡","岐阜県恵那市",01/08/13
"新居関跡","特別史跡","静岡県新居町",21/03/03
"韮山反射炉","史跡","静岡県韮山町",22/03/03
"錦田一里塚","史跡","静岡県三島市",22/03/08
"三保松原","名勝","静岡県清水市",22/03/08
"万野風穴","天然記念物","静岡県富士宮市",22/03/08
"駒門風穴","天然記念物","静岡県御殿場市",22/03/08
"狩宿の下馬ザクラ","特別天然記念物","静岡県富士宮市",22/10/12
"遠江国分寺跡","特別史跡","静岡県磐田市",23/03/07
"竜華寺のソテツ","天然記念物","静岡県清水市",24/12/09
"能満寺のソテツ","天然記念物","静岡県吉田町",24/12/09
"印野の熔岩隧道","天然記念物","静岡県御殿場市",27/04/08
"大瀬崎のビャクシン樹林","天然記念物","静岡県沼津市",32/07/25
"熊野の長フジ","天然記念物","静岡県豊田町",32/07/25
"葛＊見神社の大クス","天然記念物","静岡県伊東市",33/02/28
"阿豆佐和気神社の大クス","天然記念物","静岡県熱海市",33/02/28
"山中城跡","史跡","静岡県三島市・函南町",34/01/22
"地震動の擦痕","天然記念物","静岡県伊豆長岡町",34/01/22
"三島神社のキンモクセイ","天然記念物","静岡県三島市",34/05/01
"八幡野八幡宮・来宮神社社叢","天然記念物","静岡県伊東市",34/08/09
"手石の弥陀ノ岩屋","天然記念物","静岡県南伊豆町",34/12/28
"丹那断層","天然記念物","静岡県函南町",35/06/07
"堂ヶ島天窓洞","天然記念物","静岡県西伊豆町",35/08/27
"柴屋寺庭園","名勝・史跡","静岡県静岡市",36/09/03
"清見寺庭園","名勝","静岡県清水市",36/09/03
"臨済寺庭園","名勝","静岡県静岡市",36/09/03
"竜潭寺庭園","名勝","静岡県引佐町",36/09/03
"白糸ノ滝","名勝・天然記念物","静岡県富士宮市",36/09/03
"新町の大ソテツ","天然記念物","静岡県河津町",36/09/03
"杉桙別命神社の大クス","天然記念物","静岡県河津町",36/12/16
"伊豆西南海岸","名勝","静岡県松崎町・西伊豆町・南伊豆町",37/06/15
"八幡神社のイスノキ","天然記念物","静岡県下田市",41/02/28
"白羽の風蝕礫産地","天然記念物","静岡県御前崎町",43/08/24
"三岳城跡","史跡","静岡県引佐町",44/03/07
"湧玉池","特別天然記念物","静岡県富士宮市",44/11/07
"伊古奈比■命神社のアオギリ自生地","天然記念物","静岡県下田市",45/02/22
"了仙寺","史跡","静岡県下田市",51/06/09
"玉泉寺","史跡","静岡県下田市",51/06/09
"登呂遺跡","特別史跡","静岡県静岡市",52/03/29
"ナチシダ自生北限地","天然記念物","静岡県河津町",53/03/31
"賤機山古墳","史跡","静岡県静岡市",53/03/31
"北浜の大カヤノキ","天然記念物","静岡県浜北市",54/03/20
"楽寿園","天然記念物・名勝","静岡県三島市",54/03/20
"伊豆国分寺塔跡","史跡","静岡県三島市",56/05/15
"銚子塚古墳附小銚子塚古墳","史跡","静岡県磐田市",56/11/07
"浅間古墳","史跡","静岡県富士市",57/07/01
"蜆塚遺跡","史跡","静岡県浜松市",59/05/13
"久能山","史跡","静岡県静岡市",59/06/17
"日本平","名勝","静岡県清水市",59/06/17
"智満寺の十本スギ","天然記念物","静岡県島田市",62/06/29
"片山廃寺跡","史跡","静岡県静岡市",65/09/07
"島田宿大井川川越遺跡","史跡","静岡県島田市",66/08/01
"旧見付学校附磐田文庫","史跡","静岡県磐田市",69/04/12
"神子元島燈台","史跡","静岡県下田市",69/07/25
"願成就院跡","史跡","静岡県韮山町",73/02/14
"京丸のアカヤシオおよびシロヤシオ群生地","天然記念物","静岡県春野町",74/11/26
"千居遺跡","史跡","静岡県富士宮市",75/06/26
"高天神城跡","史跡","静岡県大東町",75/10/16
"諏訪原城跡","史跡","静岡県金谷町",75/11/25
"柏谷横穴群","史跡","静岡県函南町",76/02/20
"北江間横穴群","史跡","静岡県伊豆長岡町",76/12/27
"上白岩遺跡","史跡","静岡県中伊豆町",78/01/27
"休場遺跡","史跡","静岡県沼津市",79/01/24
"御前崎のウミガメ及びその産卵地","天然記念物","静岡県御前崎町",80/03/06
"志太郡衙跡","史跡","静岡県藤枝市",80/10/22
"横須賀城跡","史跡","静岡県大須賀町",81/05/08
"伝堀越御所跡","史跡","静岡県韮山町",84/10/08
"新豊院山古墳群","史跡","静岡県磐田市",87/07/03
"長浜城跡","史跡","静岡県沼津市",88/05/13
"興国寺城跡","史跡","静岡県沼津市",95/03/17
"和田岡古墳群","史跡","静岡県掛川市",96/03/29
"北条氏邸跡","史跡","静岡県韮山町",96/09/05
"蓮着寺のヤマモモ","天然記念物","静岡県伊東市",99/01/14
"大知波峠廃寺跡","史跡","静岡県湖西市",01/01/29
"御厨古墳群","史跡","静岡県磐田市",01/01/03
"百々陶器窯跡","史跡","愛知県田原町",22/03/08
"三河国分寺跡","史跡","愛知県豊川市",22/10/12
"三河国分尼寺跡","史跡","愛知県豊川市",22/10/12
"川宇連ハナノキ自生地","天然記念物","愛知県豊根村",22/10/12
"木曽川堤(サクラ)","名勝・天然記念物","愛知県江南市・一宮市",27/08/11
"小牧山","史跡","愛知県小牧市",27/10/26
"二子古墳","史跡","愛知県安城市",27/10/26
"姫小川古墳","史跡","愛知県安城市",27/10/26
"北野廃寺跡","史跡","愛知県岡崎市",29/12/17
"大山廃寺跡","史跡","愛知県小牧市",29/12/17
"舞木廃寺塔跡","史跡","愛知県豊田市",29/12/17
"長篠城跡","史跡","愛知県鳳来町",29/12/17
"清田の大クス","天然記念物","愛知県蒲郡市",29/12/17
"八百富神社社叢","天然記念物","愛知県蒲郡市",30/08/25
"猿投山の球状花崗岩","天然記念物","愛知県豊田市",31/02/20
"八幡山古墳","史跡","愛知県名古屋市昭和区",31/05/11
"鳳来寺山","名勝・天然記念物","愛知県鳳来町",31/07/31
"神明社の大シイ","天然記念物","愛知県西尾市",32/04/19
"名古屋城のカヤ","天然記念物","愛知県名古屋市中区",32/07/25
"名古屋城跡","特別史跡","愛知県名古屋市中区",32/12/12
"阿寺の七滝","名勝・天然記念物","愛知県鳳来町",34/01/22
"乳岩および乳岩峡","天然記念物・名勝","愛知県鳳来町",34/01/22
"鵜の山ウ繁殖地","天然記念物","愛知県美浜町",34/01/22
"羽豆神社の社叢","天然記念物","愛知県南知多町",34/01/22
"馬背岩","天然記念物","愛知県鳳来町",34/05/01
"岡崎ゲンジボタル発生地","天然記念物","愛知県岡崎市",35/12/24
"正法寺古墳","史跡","愛知県吉良町",36/12/16
"二子山古墳","史跡","愛知県春日井市",36/12/16
