"名称","種別","所在地","新指定年月日"
"縫道石山・縫道石の特殊植物群落","天然記念物","青森県佐井村",76/12/23
"瑞楽園","名勝","青森県弘前市",79/05/31
"清藤氏書院庭園","名勝","青森県尾上町",79/08/07
"長七谷地貝塚","史跡","青森県八戸市",81/05/25
"小牧野遺跡","史跡","青森県青森市",95/03/17
"三内丸山遺跡","史跡","青森県青森市",97/03/05
"二ツ森貝塚","史跡","青森県天間林村",98/01/16
"丹後平古墳群","史跡","青森県八戸市",99/01/14
"垂柳遺跡","史跡","青森県田舎館村",00/04/12
"高屋敷館遺跡","史跡","青森県浪岡町",01/01/29
"毛越寺跡附鎮守社跡","特別史跡","岩手県平泉町",22/10/12
"無量光院跡","特別史跡","岩手県平泉町",22/10/12
"胆沢城跡","史跡","岩手県水沢市",22/10/12
"盛岡石割ザクラ","天然記念物","岩手県盛岡市",23/03/07
"シダレカツラ","天然記念物","岩手県盛岡市",24/12/09
"猊鼻渓","名勝","岩手県東山町",25/10/08
"カズグリ自生地","天然記念物","岩手県東和町",27/04/08
"厳美渓","名勝・天然記念物","岩手県一関市",27/09/05
"早池峰山及び薬師岳の高山帯・植物群落","特別天然記念物","岩手県大迫町・遠野市・川井村",28/02/07
"岩手山高山植物帯","天然記念物","岩手県滝沢村",28/02/07
"勝源院の逆ガシワ","天然記念物","岩手県紫波町",29/12/17
"長泉寺の大イチョウ","天然記念物","岩手県久慈市",31/02/20
"高野長英旧宅","史跡","岩手県水沢市",33/04/13
"下船渡貝塚","史跡","岩手県大船渡市",34/01/22
"蛸ノ浦貝塚","史跡","岩手県大船渡市",34/01/22
"中沢浜貝塚","史跡","岩手県陸前高田市",34/01/22
"椿島ウミネコ繁殖地","天然記念物","岩手県陸前高田市",34/12/28
"花輪堤ハナショウブ群落","天然記念物","岩手県花巻市",35/04/11
"九戸城跡","史跡","岩手県二戸市",35/06/07
"三貫島オオミズナギドリ及びヒメクロウミツバメ繁殖地","天然記念物","岩手県釜石市",35/12/24
"日出島クロコシジロウミツバメ繁殖地","天然記念物","岩手県宮古市",35/12/24
"華蔵寺の宝珠マツ","天然記念物","岩手県陸前高田市",35/12/24
"竜谷寺のモリオカシダレ","天然記念物","岩手県盛岡市",36/09/03
"根反の大珪化木","特別天然記念物","岩手県一戸町",36/12/16
"蛇ヶ崎","天然記念物","岩手県陸前高田市",36/12/16
"盛岡城跡","史跡","岩手県盛岡市",37/04/17
"碁石海岸","名勝・天然記念物","岩手県大船渡市",37/06/15
"岩泉湧窟およびコウモリ","天然記念物","岩手県岩泉町",38/12/14
"実相寺のイチョウ","天然記念物","岩手県一戸町",38/12/14
"藤島のフジ","天然記念物","岩手県一戸町",38/12/14
"館ヶ崎角岩岩脈","天然記念物","岩手県大船渡市",39/09/07
"崎山の潮吹穴","天然記念物","岩手県宮古市",39/09/07
"崎山の蝋燭岩","天然記念物","岩手県宮古市",39/09/07
"高田松原","名勝","岩手県陸前高田市",40/11/13
"姉帯小鳥谷根反の珪化木地帯","天然記念物","岩手県一戸町",41/02/21
"夏油温泉の石灰華","特別天然記念物","岩手県北上市",41/02/28
"浪打峠の交叉層","天然記念物","岩手県一戸町",41/08/01
"葛＊根田の大岩屋","天然記念物","岩手県雫石町",43/02/19
"珊瑚島","名勝","岩手県大船渡市",43/08/27
"焼走り熔岩流","特別天然記念物","岩手県西根町",44/11/07
"樋口沢ゴトランド紀化石産地","天然記念物","岩手県大船渡市",57/05/08
"橋野高炉跡","史跡","岩手県釜石市",57/06/03
"毛越寺庭園","特別名勝","岩手県平泉町",57/11/12
"徳丹城跡","史跡","岩手県矢巾町",69/08/05
"大揚沼モリアオガエルおよびその繁殖地","天然記念物","岩手県松尾村",72/12/08
"安家洞","天然記念物","岩手県岩泉町",75/02/07
"早池峰山のアカエゾマツ自生南限地","天然記念物","岩手県川井村",75/02/18
"樺山遺跡","史跡","岩手県北上市",77/07/14
"八天遺跡","史跡","岩手県北上市",78/02/22
"中尊寺境内","特別史跡","岩手県平泉町",79/05/22
"江釣子古墳群","史跡","岩手県北上市",79/09/10
"志波城跡","史跡","岩手県盛岡市",84/09/14
"角塚古墳","史跡","岩手県胆沢町",85/03/22
"御所野遺跡","史跡","岩手県一戸町",93/12/21
"崎山貝塚","史跡","岩手県宮古市",96/07/16
"柳之御所遺跡","史跡","岩手県平泉町",97/03/05
"南部領伊達領境塚","史跡","岩手県北上市・金ヶ崎町",00/01/31
"大洞貝塚","史跡","岩手県大船渡市",01/08/13
"陸奥国分寺跡","史跡","宮城県仙台市若林区",22/10/12
"多賀城跡附寺跡","特別史跡","宮城県多賀城市",22/10/12
"松島","特別名勝","宮城県塩竈市・他",23/03/07
"球状閃緑岩","天然記念物","宮城県白石市",23/03/07
"苦竹のイチョウ","天然記念物","宮城県仙台市宮城野区",26/10/20
"旧有備館および庭園","史跡・名勝","宮城県岩出山町",33/02/28
"魚取沼テツギョ生息地","天然記念物","宮城県宮崎町・小野田町",33/04/13
"鬼首の雌釜および雄釜間歇温泉","特別天然記念物","宮城県鳴子町",33/04/13
"陸前江ノ島のウミネコおよびウトウ繁殖地","天然記念物","宮城県女川町",34/01/22
"小原の材木岩","天然記念物","宮城県白石市",34/05/01
"姉滝","天然記念物","宮城県仙台市太白区",34/08/09
"横山のウグイ生息地","天然記念物","宮城県津山町",35/08/27
"沢辺ゲンジボタル発生地","天然記念物","宮城県金成町",40/02/10
"秋保大滝","名勝","宮城県仙台市太白区",42/03/07
"林子平墓","史跡","宮城県仙台市青葉区",42/07/21
"朝鮮ウメ","天然記念物","宮城県仙台市若林区",42/09/19
"ヨコグラノキ北限地帯","天然記念物","宮城県白石市",42/10/14
"小原のヒダリマキガヤ","天然記念物","宮城県白石市",42/10/14
"小原のコツブガヤ","天然記念物","宮城県白石市",43/02/19
"称名寺のシイノキ","天然記念物","宮城県亘理町",43/08/24
"磐司","名勝","宮城県仙台市太白区",45/02/22
"陸奥国分尼寺跡","史跡","宮城県仙台市若林区",48/12/18
"雷神山古墳","史跡","宮城県名取市",56/12/28
"花山のアズマシャクナゲ自生北限地帯","天然記念物","宮城県花山村",61/11/14
"仙台藩花山村寒湯番所跡","史跡","宮城県花山村",63/09/28
"八景島暖地性植物群落","天然記念物","宮城県雄勝町",64/06/27
"椿島暖地性植物群落","天然記念物","宮城県志津川町",66/11/07
"伊豆沼・内沼の鳥類およびその生息地","天然記念物","宮城県築館町・若柳町",67/09/07
"黄金山産金遺跡","史跡","宮城県涌谷町",67/12/15
"大木囲貝塚","史跡","宮城県七ヶ浜町",68/03/18
"遠見塚古墳","史跡","宮城県仙台市若林区",68/11/08
"雨乞のイチョウ","天然記念物","宮城県柴田町",68/11/08
"長根貝塚","史跡","宮城県涌谷町",70/03/09
"旧有壁宿本陣","史跡","宮城県金成町",71/05/27
"山王囲遺跡","史跡","宮城県一迫町",71/09/09
"青葉山","天然記念物","宮城県仙台市青葉区",72/07/11
"沼津貝塚","史跡","宮城県石巻市",72/10/21
"山畑横穴群","史跡","宮城県三本木町",73/12/15
"西の浜貝塚","史跡","宮城県松島町",74/07/02
"歌津館崎の魚竜化石産地および魚竜化石","天然記念物","宮城県歌津町",75/08/02
"木戸瓦窯跡","史跡","宮城県田尻町",76/03/16
"大吉山瓦窯跡","史跡","宮城県古川市",76/03/31
"日の出山瓦窯跡","史跡","宮城県色麻町",76/03/31
"山前遺跡","史跡","宮城県小牛田町",76/06/07
"滝前不動のフジ","天然記念物","宮城県川崎町",76/06/16
"宮沢遺跡","史跡","宮城県古川市",76/07/13
"祇＊劫寺のコウヤマキ","天然記念物","宮城県田尻町",76/07/26
"梁瀬浦遺跡","史跡","宮城県角田市",77/02/17
"飯野坂古墳群","史跡","宮城県名取市",78/03/16
"東和町ゲンジボタル生息地","天然記念物","宮城県東和町",79/04/26
"城生柵跡","史跡","宮城県中新田町",79/05/18
"岩切城跡","史跡","宮城県仙台市宮城野区",82/08/23
"名生館官衙遺跡","史跡","宮城県古川市",87/08/17
"鹽竃神社の鹽竃ザクラ","天然記念物","宮城県塩竈市",87/12/17
"中沢目貝塚","史跡","宮城県田尻町",88/10/14
"陸奥上街道","史跡","宮城県岩出山町",90/02/22
"三十三間堂官衙遺跡","史跡","宮城県亘理町",92/01/21
"里浜貝塚","史跡","宮城県鳴瀬町",95/02/14
"東昌寺のマルミガヤ","天然記念物","宮城県仙台市青葉区",95/03/20
"座散乱木遺跡","史跡","宮城県岩出山町",97/07/28
"東山官衙遺跡","史跡","宮城県宮崎町",99/01/28
"玉川温泉の北投石","特別天然記念物","秋田県田沢湖町",22/10/12
"■状珪石および噴泉塔","天然記念物","秋田県雄勝町",24/12/09
"秋田駒ヶ岳高山植物帯","天然記念物","秋田県田沢湖町",26/02/24
"長走風穴高山植物群落","天然記念物","秋田県大館市",26/02/24
"払田柵跡","史跡","秋田県仙北町・千畑村",31/03/30
"奈曽の白瀑谷","名勝","秋田県象潟町",32/03/25
"ザリガニ生息地","天然記念物","秋田県大館市",34/01/22
"象潟","天然記念物","秋田県象潟町",34/01/22
"平田篤胤墓","史跡","秋田県秋田市",34/05/01
"芝谷地湿原植物群落","天然記念物","秋田県大館市",36/09/03
"筑紫森岩脈","天然記念物","秋田県河辺町",38/08/08
"秋田城跡","史跡","秋田県秋田市",39/09/07
"大湯環状列石","特別史跡","秋田県鹿角市",51/12/26
"角館のシダレザクラ","天然記念物","秋田県角館町",74/10/09
"桃洞・佐渡のスギ原生林","天然記念物","秋田県阿仁町",75/02/13
"檜木内川堤(サクラ)","名勝","秋田県角館町",75/02/18
"岩井堂洞窟","史跡","秋田県雄勝町",78/09/18
"檜山安東氏城館跡　檜山城跡　　大館跡　　茶臼館跡","史跡","秋田県能代市",80/03/21
"杉沢台遺跡","史跡","秋田県能代市",81/09/03
"千屋断層","天然記念物","秋田県千畑町",95/02/14
"地蔵田遺跡","史跡","秋田県秋田市",96/11/06
"由利海岸波除石垣","史跡","秋田県仁賀保町・金浦町",97/09/11
"伊勢堂岱遺跡","史跡","秋田県鷹巣町",01/01/29
"鳥海山獅子ヶ鼻湿原植物群落及び新山溶岩流末端崖と湧水群","天然記念物","秋田県象潟町",01/01/29
"伊佐沢の久保ザクラ","天然記念物","山形県長井市",24/12/09
"大沼の浮島","名勝","山形県朝日町",25/10/08
"東根の大ケヤキ","特別天然記念物","山形県東根市",26/10/20
"熊野神社の大スギ","天然記念物","山形県鶴岡市",27/04/08
"山寺","名勝・史跡","山形県山形市",32/03/25
"城輪柵跡","史跡","山形県酒田市",32/04/25
"上杉治憲敬師郊迎跡","史跡","山形県米沢市",35/06/07
"飛島ウミネコ繁殖地","天然記念物","山形県酒田市",38/12/14
"金峰山","名勝","山形県鶴岡市",41/04/23
"旧致道館","史跡","山形県鶴岡市",51/06/09
"文下のケヤキ","天然記念物","山形県鶴岡市",51/06/09
