"都道府県コード","都道府県・市区町村コード","都道府県名","都道府県・市区町村名","（人）","（km2）","（人/km2）"
"46","46501","鹿児島県","中種子町",8135,137.18,59.3
"46","46502","鹿児島県","南種子町",5745,110.36,52.1
"46","46505","鹿児島県","屋久島町",12913,540.48,23.9
"46","46523","鹿児島県","大和村",1530,88.26,17.3
"46","46524","鹿児島県","宇検村",1722,103.07,16.7
"46","46525","鹿児島県","瀬戸内町",9042,239.65,37.7
"46","46527","鹿児島県","龍郷町",5806,81.82,71
"46","46529","鹿児島県","喜界町",7212,56.82,126.9
"46","46530","鹿児島県","徳之島町",11160,104.92,106.4
"46","46531","鹿児島県","天城町",5975,80.4,74.3
"46","46532","鹿児島県","伊仙町",6362,62.71,101.5
"46","46533","鹿児島県","和泊町",6783,40.39,167.9
"46","46534","鹿児島県","知名町",6213,53.3,116.6
"46","46535","鹿児島県","与論町",5186,20.58,252
"47","47000","沖縄県","沖縄県",1433566,2281.12,628.4
"47","47201","沖縄県","那覇市",319435,39.57,8072.7
"47","47205","沖縄県","宜野湾市",96243,19.8,4860.8
"47","47207","沖縄県","石垣市",47564,229.34,207.4
"47","47208","沖縄県","浦添市",114232,19.48,5864.1
"47","47209","沖縄県","名護市",61674,210.9,292.4
"47","47210","沖縄県","糸満市",58547,46.62,1255.8
"47","47211","沖縄県","沖縄市",139279,49.72,2801.3
"47","47212","沖縄県","豊見城市",61119,19.6,3118.3
"47","47213","沖縄県","うるま市",118898,87.01,1366.5
"47","47214","沖縄県","宮古島市",51186,204.2,250.7
"47","47215","沖縄県","南城市",42016,49.94,841.3
"47","47301","沖縄県","国頭村",4908,194.8,25.2
"47","47302","沖縄県","大宜味村",3060,63.55,48.2
"47","47303","沖縄県","東村",1720,81.88,21
"47","47306","沖縄県","今帰仁村",9531,39.93,238.7
"47","47308","沖縄県","本部町",13536,54.35,249.1
"47","47311","沖縄県","恩納村",10652,50.82,209.6
"47","47313","沖縄県","宜野座村",5597,31.3,178.8
"47","47314","沖縄県","金武町",11232,37.84,296.8
"47","47315","沖縄県","伊江村",4260,22.78,187
"47","47324","沖縄県","読谷村",39504,35.28,1119.7
"47","47325","沖縄県","嘉手納町",13685,15.12,905.1
"47","47326","沖縄県","北谷町",28308,13.93,2032.2
"47","47327","沖縄県","北中城村",16148,11.54,1399.3
"47","47328","沖縄県","中城村",19454,15.53,1252.7
"47","47329","沖縄県","西原町",34508,15.9,2170.3
"47","47348","沖縄県","与那原町",18410,5.18,3554.1
"47","47350","沖縄県","南風原町",37502,10.76,3485.3
"47","47353","沖縄県","渡嘉敷村",730,19.23,38
"47","47354","沖縄県","座間味村",870,16.74,52
"47","47355","沖縄県","粟国村",759,7.65,99.2
"47","47356","沖縄県","渡名喜村",430,3.87,111.1
"47","47357","沖縄県","南大東村",1329,30.53,43.5
"47","47358","沖縄県","北大東村",629,13.09,48.1
"47","47359","沖縄県","伊平屋村",1238,21.82,56.7
"47","47360","沖縄県","伊是名村",1517,15.42,98.4
"47","47361","沖縄県","久米島町",7755,63.65,121.8
"47","47362","沖縄県","八重瀬町",29066,26.96,1078.1
"47","47375","沖縄県","多良間村",1194,21.99,54.3
"47","47381","沖縄県","竹富町",3998,334.39,12
"47","47382","沖縄県","与那国町",1843,28.96,63.6
