"名称","種別","所在地"
"太田家住宅朝宗亭","民家","広島県福山市"
"旧真野家住宅(旧所在 広島県世羅郡世羅町)","民家","広島県三次市"
"円通寺本堂","寺院","広島県庄原市"
"旧木原家住宅","民家","広島県高屋町"
"桂濱神社本殿","神社","広島県倉橋町"
"厳島神社","神社","広島県宮島町"
"林家住宅","民家","広島県宮島町"
"厳島神社大鳥居","宗教建築","広島県宮島町"
"厳島神社摂社大国神社本殿","神社","広島県宮島町"
"厳島神社摂社天神社本殿","神社","広島県宮島町"
"厳島神社五重塔","寺院","広島県宮島町"
"厳島神社多宝塔","寺院","広島県宮島町"
"厳島神社末社荒胡子神社本殿","神社","広島県宮島町"
"厳島神社末社豊国神社本殿(千畳閣)","寺院","広島県宮島町"
"厳島神社摂社大元神社本殿","神社","広島県宮島町"
"厳島神社宝蔵","寺院","広島県宮島町"
"竜山八幡神社本殿","神社","広島県大朝町"
"竹林寺本堂","寺院","広島県河内町"
"向上寺三重塔","寺院","広島県瀬戸田町"
"光明坊十三重塔","近代以前その他","広島県瀬戸田町"
"吉原家住宅","民家","広島県向島町"
"磐台寺観音堂","寺院","広島県沼隈町"
"吉備津神社本殿","神社","広島県新市町"
"奥家住宅","民家","広島県吉舎町"
"旛山家住宅","民家","広島県三良坂町"
"堀江家住宅","民家","広島県高野町"
"荒木家住宅","民家","広島県比和町"
"功山寺仏殿","寺院","山口県下関市"
"住吉神社本殿","神社","山口県下関市"
"旧下関英国領事館","官公庁舎","山口県下関市"
"住吉神社拝殿","神社","山口県下関市"
"瑠璃光寺五重塔","寺院","山口県山口市"
"今八幡宮本殿","神社","山口県山口市"
"平清水八幡宮本殿","神社","山口県山口市"
"古熊神社本殿","神社","山口県山口市"
"洞春寺観音堂","寺院","山口県山口市"
"八坂神社本殿","神社","山口県山口市"
"竜福寺本堂","寺院","山口県山口市"
"山口県旧県庁舎及び県会議事堂","官公庁舎","山口県山口市"
"今八幡宮拝殿","神社","山口県山口市"
"古熊神社拝殿","神社","山口県山口市"
"洞春寺山門","寺院","山口県山口市"
"今八幡宮楼門","神社","山口県山口市"
"常念寺表門","寺院","山口県萩市"
"旧厚狭毛利家萩屋敷長屋","住宅","山口県萩市"
"東光寺","寺院","山口県萩市"
"菊屋家住宅","民家","山口県萩市"
"熊谷家住宅","民家","山口県萩市"
"口羽家住宅","民家","山口県萩市"
"国分寺金堂","寺院","山口県防府市"
"閼伽井坊多宝塔","寺院","山口県下松市"
"旧目加田家住宅","民家","山口県岩国市"
"早川家住宅","民家","山口県長門市"
"国森家住宅","民家","山口県柳井市"
"石城神社本殿","神社","山口県大和町"
"月輪寺薬師堂","寺院","山口県徳地町"
"正八幡宮","神社","山口県秋穂町"
"森田家住宅","民家","山口県福栄村"
"丈六寺本堂（元方丈）","寺院","徳島県徳島市"
"一宮神社本殿","神社","徳島県徳島市"
"丈六寺観音堂","寺院","徳島県徳島市"
"丈六寺三門","寺院","徳島県徳島市"
"丈六寺経蔵","寺院","徳島県徳島市"
"福永家住宅","民家","徳島県鳴門市"
"田中家住宅","民家","徳島県上勝町"
"田中家住宅","民家","徳島県石井町"
"粟飯原家住宅","民家","徳島県神山町"
"切幡寺大塔","寺院","徳島県市場町"
"旧長岡家住宅","民家","徳島県脇町"
"三木家住宅","民家","徳島県木屋平村"
"小采家住宅","民家","徳島県東祖谷山村"
"木村家住宅","民家","徳島県東祖谷山村"
"高松城","城郭","香川県高松市"
"屋島寺本堂","寺院","香川県高松市"
"小比賀家住宅","民家","香川県高松市"
"旧下木家住宅(旧所在 徳島県美馬郡一宇村)","民家","香川県高松市"
"旧河野家住宅(旧所在 愛媛県上浮穴郡小田町)","民家","香川県高松市"
"丸亀城","城郭","香川県丸亀市"
"丸亀城天守","城郭","香川県丸亀市"
"神谷神社本殿","神社","香川県坂出市"
"白峯寺十三重塔","近代以前その他","香川県坂出市"
"観音寺金堂","寺院","香川県観音寺市"
"旧恵利家住宅","民家","香川県大川町"
"志度寺","寺院","香川県志度町"
"長尾寺経幢","近代以前その他","香川県長尾町"
"細川家住宅","民家","香川県長尾町"
"明王寺釈迦堂","寺院","香川県池田町"
"国分寺本堂","寺院","香川県国分寺町"
"金刀比羅宮表書院及び四脚門","住宅","香川県琴平町"
"旧金毘羅大芝居","近代以前その他","香川県琴平町"
"金刀比羅宮奥書院","住宅","香川県琴平町"
"金刀比羅宮旭社","寺院","香川県琴平町"
"本山寺二王門","寺院","香川県豊中町"
"本山寺本堂","寺院","香川県豊中町"
"覚城院鐘楼","寺院","香川県仁尾町"
"常徳寺円通殿","寺院","香川県仁尾町"
"太山寺本堂","寺院","愛媛県松山市"
"石手寺本堂","寺院","愛媛県松山市"
"大宝寺本堂","寺院","愛媛県松山市"
"松山城","城郭","愛媛県松山市"
"浄土寺本堂","寺院","愛媛県松山市"
"伊佐爾波神社","神社","愛媛県松山市"
"豊島家住宅","民家","愛媛県松山市"
"渡部家住宅","民家","愛媛県松山市"
"太山寺二王門","寺院","愛媛県松山市"
"石手寺三重塔","寺院","愛媛県松山市"
"道後温泉本館","文化施設","愛媛県松山市"
"石手寺二王門","寺院","愛媛県松山市"
"石手寺鐘楼","寺院","愛媛県松山市"
"石手寺五輪塔","近代以前その他","愛媛県松山市"
"石手寺訶梨帝母天堂","神社","愛媛県松山市"
"石手寺護摩堂","寺院","愛媛県松山市"
"宝篋印塔","近代以前その他","愛媛県今治市"
"野間神社宝篋印塔","近代以前その他","愛媛県今治市"
"乗禅寺石塔","近代以前その他","愛媛県今治市"
"五輪塔","近代以前その他","愛媛県今治市"
"五輪塔","近代以前その他","愛媛県今治市"
"宇和島城天守","城郭","愛媛県宇和島市"
"大洲城","城郭","愛媛県大洲市"
"大洲城三の丸南隅櫓","城郭","愛媛県大洲市"
"如法寺仏殿","寺院","愛媛県大洲市"
"真鍋家住宅","民家","愛媛県川之江市"
"興隆寺本堂","寺院","愛媛県丹原町"
"興隆寺宝篋印塔","近代以前その他","愛媛県丹原町"
"宝篋印塔","近代以前その他","愛媛県宮窪町"
"亀井八幡神社宝篋印塔","近代以前その他","愛媛県魚島村"
"定光寺観音堂","寺院","愛媛県弓削町"
"祥雲寺観音堂","寺院","愛媛県岩城村"
"大山祇＊神社本殿(宝殿)","神社","愛媛県大三島町"
"大山祇＊神社宝篋印塔","近代以前その他","愛媛県大三島町"
"大山祇＊神社拝殿","神社","愛媛県大三島町"
"医王寺本堂内厨子","寺院","愛媛県川内町"
"三島神社本殿","神社","愛媛県川内町"
"旧山中家住宅(旧所在 愛媛県宇摩郡別子山村)","民家","愛媛県美川村"
"上芳我家住宅","住居建築","愛媛県内子町"
"本芳我家住宅","住居建築","愛媛県内子町"
"大村家住宅","民家","愛媛県内子町"
"旧開明学校校舎","学校建築","愛媛県宇和町"
"善光寺薬師堂","寺院","愛媛県広見町"
"土佐神社本殿・'幣殿及び拝殿","神社","高知県高知市"
"竹林寺本堂","寺院","高知県高知市"
"高知城","城郭","高知県高知市"
"朝倉神社本殿","神社","高知県高知市"
"旧関川家住宅","民家","高知県高知市"
"旧山内家下屋敷長屋","住宅","高知県高知市"
"土佐神社鼓楼","寺院","高知県高知市"
"土佐神社楼門","神社","高知県高知市"
"国分寺金堂","寺院","高知県南国市"
"鳴無神社","神社","高知県須崎市"
"不破八幡宮本殿","神社","高知県中村市"
"吉福家住宅","住居建築","高知県土佐清水市"
"豊楽寺薬師堂","寺院","高知県大豊町"
"旧立川番所書院","住宅","高知県大豊町"
"山中家住宅","民家","高知県本川村"
"旧竹内家住宅","民家","高知県大正町"
"門司港駅(旧門司駅)本屋","その他近代","福岡県北九州市門司区"
"旧門司三井倶楽部","住居建築","福岡県北九州市門司区"
"旧松本家住宅","住居建築","福岡県北九州市戸畑区"
"筥崎宮楼門","神社","福岡県福岡市東区"
"香椎宮本殿","神社","福岡県福岡市東区"
"筥崎宮本殿","神社","福岡県福岡市東区"
"筥崎宮拝殿","神社","福岡県福岡市東区"
"筥崎宮鳥居","神社","福岡県福岡市東区"
"住吉神社本殿","神社","福岡県福岡市博多区"
"旧日本生命保険株式会社九州支店","商業・業務","福岡県福岡市中央区"
"旧福岡県公会堂貴賓館","文化施設","福岡県福岡市中央区"
"福岡城南丸多聞櫓","城郭","福岡県福岡市中央区"
"早鐘眼鏡橋","近代以前その他","福岡県大牟田市"
"三井石炭鉱業株式会社三池炭鉱宮原坑施設","近代化遺産","福岡県大牟田市"
"高良大社","神社","福岡県久留米市"
"善導寺","寺院","福岡県久留米市"
"風浪神社本殿","神社","福岡県大川市"
"旧吉原家住宅","民家","福岡県大川市"
"風浪神社五重塔","近代以前その他","福岡県大川市"
"太宰府天満宮本殿","神社","福岡県太宰府市"
"七重塔","近代以前その他","福岡県太宰府市"
"太宰府天満宮末社志賀社本殿","神社","福岡県太宰府市"
"横大路家住宅","民家","福岡県新宮町"
"宗像神社辺津宮本殿","神社","福岡県玄海町"
"宗像神社辺津宮拝殿","神社","福岡県玄海町"
"普門院本堂","寺院","福岡県杷木町"
"岩屋神社","神社","福岡県宝珠山村"
"平川家住宅","民家","福岡県浮羽町"
"松延家住宅","民家","福岡県立花町"
"英彦山神社奉幣殿","寺院","福岡県添田町"
"中島家住宅","民家","福岡県添田町"
"旧数山家住宅","民家","福岡県添田町"
"英彦山神社銅鳥居","神社","福岡県添田町"
"永沼家住宅","民家","福岡県犀川町"
"与賀神社楼門","神社","佐賀県佐賀市"
"佐賀城鯱の門及び続櫓","城郭","佐賀県佐賀市"
"与賀神社三の鳥居及び石橋","神社","佐賀県佐賀市"
"旧高取家住宅","住居建築","佐賀県唐津市"
"多久聖廟","神社","佐賀県多久市"
"川打家住宅","民家","佐賀県多久市"
"田嶋神社本殿","神社","佐賀県伊万里市"
"山口家住宅","住居建築","佐賀県川副町"
"吉村家住宅","民家","佐賀県富士町"
"土井家住宅","民家","佐賀県大町町"
"西岡家住宅","民家","佐賀県塩田町"
"崇福寺大雄宝殿","寺院","長崎県長崎市"
"大浦天主堂","近代以前その他","長崎県長崎市"
"興福寺本堂(大雄宝殿)","宗教建築","長崎県長崎市"
"眼鏡橋","近代以前その他","長崎県長崎市"
"崇福寺三門(楼門)","寺院","長崎県長崎市"
"旧羅典神学校","宗教建築","長崎県長崎市"
"旧唐人屋敷門","近代以前その他","長崎県長崎市"
"崇福寺第一峰門","寺院","長崎県長崎市"
"旧グラバー住宅","住宅","長崎県長崎市"
"崇福寺護法堂(関帝堂又観音堂)","寺院","長崎県長崎市"
"旧リンガー住宅","住居建築","長崎県長崎市"
"崇福寺鐘鼓楼","寺院","長崎県長崎市"
"旧本田家住宅","民家","長崎県長崎市"
"崇福寺媽姐門","寺院","長崎県長崎市"
"旧オルト住宅","住宅","長崎県長崎市"
"旧長崎英国領事館","官公庁舎","長崎県長崎市"
"旧長崎税関下り松派出所","官公庁舎","長崎県長崎市"
"旧香港上海銀行長崎支店","商業・業務","長崎県長崎市"
"東山手十二番館","住居建築","長崎県長崎市"
"黒島天主堂","宗教建築","長崎県佐世保市"
"眼鏡橋","近代以前その他","長崎県諫早市"
"旧五輪教会堂","宗教建築","長崎県福江市"
"幸橋","近代以前その他","長崎県平戸市"
"主藤家住宅","民家","長崎県厳原町"
"熊本城","城郭","熊本県熊本市"
"細川家舟屋形","近代以前その他","熊本県熊本市"
"旧第五高等中学校","学校建築","熊本県熊本市"
"熊本大学工学部(旧熊本高等工業学校)旧機械実験工場","学校建築","熊本県熊本市"
"十三重塔","近代以前その他","熊本県八代市"
"青井阿蘇神社社殿","神社","熊本県人吉市"
"老神神社","神社","熊本県人吉市"
"三井石炭鉱業株式会社三池炭鉱旧万田坑施設","近代化遺産","熊本県荒尾市"
"祇＊園橋","近代以前その他","熊本県本渡市"
"八千代座","文化施設","熊本県山鹿市"
"六殿神社楼門","神社","熊本県富合町"
"霊台橋","近代以前その他","熊本県砥用町"
"旧境家住宅（旧所在　熊本県玉名郡玉東町）","民家","熊本県菊水町"
"通潤橋","近代以前その他","熊本県矢部町"
"桑原家住宅","民家","熊本県錦町"
"青蓮寺阿弥陀堂","寺院","熊本県多良木町"
"太田家住宅","民家","熊本県多良木町"
"明導寺阿弥陀堂","寺院","熊本県湯前町"
"明導寺九重石塔(城泉寺九重石塔)","近代以前その他","熊本県湯前町"
"明導寺七重石塔(城泉寺七重石塔)","近代以前その他","熊本県湯前町"
"生善院観音堂","寺院","熊本県水上村"
"十島菅原神社","神社","熊本県相良村"
"山田大王神社","神社","熊本県山江村"
"薦神社神門","神社","大分県中津市"
"行徳家住宅","民家","大分県日田市"
"宝篋印塔","近代以前その他","大分県臼杵市"
"五輪塔","近代以前その他","大分県臼杵市"
"願成院本堂(愛染堂)","寺院","大分県竹田市"
"白水溜池堰堤水利施設","近代化遺産","大分県竹田市・荻町"
"富貴寺大堂","寺院","大分県豊後高田市"
"善光寺本堂","寺院","大分県宇佐市"
"宇佐神宮本殿","神社","大分県宇佐市"
"宝塔","近代以前その他","大分県大田村"
"財前家宝塔","近代以前その他","大分県大田村"
"田原家五重塔","近代以前その他","大分県大田村"
"岩戸寺宝塔","近代以前その他","大分県国東町"
"泉福寺開山堂","寺院","大分県国東町"
"長木家宝塔","近代以前その他","大分県国東町"
"照恩寺宝塔","近代以前その他","大分県武蔵町"
"宝塔","近代以前その他","大分県安岐町"
"後藤家住宅","民家","大分県野津原町"
"旧日野医院","その他近代","大分県湯布院町"
"九重塔","近代以前その他","大分県野津町"
"五輪塔","近代以前その他","大分県野津町"
"虹澗橋","近代以前その他","大分県野津町"
"神角寺本堂","寺院","大分県朝地町"
"大野老松天満社旧本殿","神社","大分県前津江村"
"旧矢羽田家住宅","民家","大分県大山町"
"神尾家住宅","民家","大分県山国町"
"龍岩寺奥院礼堂","寺院","大分県院内町"
"旧黒木家住宅(旧所在 宮崎県西諸県郡高原町)","民家","宮崎県宮崎市"
"旧藤田家住宅(旧所在 宮崎県西臼杵郡五ヶ瀬町)","民家","宮崎県宮崎市"
"興玉神社内神殿","神社","宮崎県都城市"
"巨田神社本殿","神社","宮崎県佐土原町"
"那須家住宅","民家","宮崎県椎葉村"
"旧鹿児島紡績所技師館","近代以前その他","鹿児島県鹿児島市"
"旧集成館機械工場","近代以前その他","鹿児島県鹿児島市"
"八幡神社本殿","神社","鹿児島県大口市"
"祁＊答院家住宅","民家","鹿児島県大口市"
"箱崎神社本殿","神社","鹿児島県菱刈町"
"霧島神宮","神社","鹿児島県霧島町"
"二階堂家住宅","民家","鹿児島県高山町"
"古市家住宅","民家","鹿児島県中種子町"
"泉家住宅","住居建築","鹿児島県笠利町"
"旧円覚寺放生橋","近代以前その他","沖縄県那覇市"
"天女橋","近代以前その他","沖縄県那覇市"
"旧崇元寺第一門及び石牆","寺院","沖縄県那覇市"
"伊江御殿墓","近代以前その他","沖縄県那覇市"
"園比屋武御嶽石門","近代以前その他","沖縄県那覇市"
"玉陵","神社","沖縄県那覇市"
"喜友名泉","近代以前その他","沖縄県宜野湾市"
"豊見親墓","近代以前その他","沖縄県平良市"
"旧宮良殿内","民家","沖縄県石垣市"
"権現堂","神社","沖縄県石垣市"
"瀬底土帝君","近代以前その他","沖縄県本部町"
"中村家住宅","民家","沖縄県北中城村"
"仲村渠樋川","その他近代","沖縄県玉城村"
"旧仲里間切蔵元石牆","近代以前その他","沖縄県仲里村"
"上江洲家住宅","民家","沖縄県具志川村"
"高良家住宅","住居建築","沖縄県座間味村"
"銘苅家住宅","住居建築","沖縄県伊是名村"
